Date,Day,Month,Month_Name,Month_Short,Quarter,Quarter_No,Year,Year_Month,Week_No,Day_Name,Day_of_Week,Is_Weekend,Financial_Year
2024-01-01,1,1,January,Jan,Q1,1,2024,2024-01,1,Monday,1,No,FY2023
2024-01-02,2,1,January,Jan,Q1,1,2024,2024-01,1,Tuesday,2,No,FY2023
2024-01-03,3,1,January,Jan,Q1,1,2024,2024-01,1,Wednesday,3,No,FY2023
2024-01-04,4,1,January,Jan,Q1,1,2024,2024-01,1,Thursday,4,No,FY2023
2024-01-05,5,1,January,Jan,Q1,1,2024,2024-01,1,Friday,5,No,FY2023
2024-01-06,6,1,January,Jan,Q1,1,2024,2024-01,1,Saturday,6,Yes,FY2023
2024-01-07,7,1,January,Jan,Q1,1,2024,2024-01,1,Sunday,7,Yes,FY2023
2024-01-08,8,1,January,Jan,Q1,1,2024,2024-01,2,Monday,1,No,FY2023
2024-01-09,9,1,January,Jan,Q1,1,2024,2024-01,2,Tuesday,2,No,FY2023
2024-01-10,10,1,January,Jan,Q1,1,2024,2024-01,2,Wednesday,3,No,FY2023
2024-01-11,11,1,January,Jan,Q1,1,2024,2024-01,2,Thursday,4,No,FY2023
2024-01-12,12,1,January,Jan,Q1,1,2024,2024-01,2,Friday,5,No,FY2023
2024-01-13,13,1,January,Jan,Q1,1,2024,2024-01,2,Saturday,6,Yes,FY2023
2024-01-14,14,1,January,Jan,Q1,1,2024,2024-01,2,Sunday,7,Yes,FY2023
2024-01-15,15,1,January,Jan,Q1,1,2024,2024-01,3,Monday,1,No,FY2023
2024-01-16,16,1,January,Jan,Q1,1,2024,2024-01,3,Tuesday,2,No,FY2023
2024-01-17,17,1,January,Jan,Q1,1,2024,2024-01,3,Wednesday,3,No,FY2023
2024-01-18,18,1,January,Jan,Q1,1,2024,2024-01,3,Thursday,4,No,FY2023
2024-01-19,19,1,January,Jan,Q1,1,2024,2024-01,3,Friday,5,No,FY2023
2024-01-20,20,1,January,Jan,Q1,1,2024,2024-01,3,Saturday,6,Yes,FY2023
2024-01-21,21,1,January,Jan,Q1,1,2024,2024-01,3,Sunday,7,Yes,FY2023
2024-01-22,22,1,January,Jan,Q1,1,2024,2024-01,4,Monday,1,No,FY2023
2024-01-23,23,1,January,Jan,Q1,1,2024,2024-01,4,Tuesday,2,No,FY2023
2024-01-24,24,1,January,Jan,Q1,1,2024,2024-01,4,Wednesday,3,No,FY2023
2024-01-25,25,1,January,Jan,Q1,1,2024,2024-01,4,Thursday,4,No,FY2023
2024-01-26,26,1,January,Jan,Q1,1,2024,2024-01,4,Friday,5,No,FY2023
2024-01-27,27,1,January,Jan,Q1,1,2024,2024-01,4,Saturday,6,Yes,FY2023
2024-01-28,28,1,January,Jan,Q1,1,2024,2024-01,4,Sunday,7,Yes,FY2023
2024-01-29,29,1,January,Jan,Q1,1,2024,2024-01,5,Monday,1,No,FY2023
2024-01-30,30,1,January,Jan,Q1,1,2024,2024-01,5,Tuesday,2,No,FY2023
2024-01-31,31,1,January,Jan,Q1,1,2024,2024-01,5,Wednesday,3,No,FY2023
2024-02-01,1,2,February,Feb,Q1,1,2024,2024-02,5,Thursday,4,No,FY2023
2024-02-02,2,2,February,Feb,Q1,1,2024,2024-02,5,Friday,5,No,FY2023
2024-02-03,3,2,February,Feb,Q1,1,2024,2024-02,5,Saturday,6,Yes,FY2023
2024-02-04,4,2,February,Feb,Q1,1,2024,2024-02,5,Sunday,7,Yes,FY2023
2024-02-05,5,2,February,Feb,Q1,1,2024,2024-02,6,Monday,1,No,FY2023
2024-02-06,6,2,February,Feb,Q1,1,2024,2024-02,6,Tuesday,2,No,FY2023
2024-02-07,7,2,February,Feb,Q1,1,2024,2024-02,6,Wednesday,3,No,FY2023
2024-02-08,8,2,February,Feb,Q1,1,2024,2024-02,6,Thursday,4,No,FY2023
2024-02-09,9,2,February,Feb,Q1,1,2024,2024-02,6,Friday,5,No,FY2023
2024-02-10,10,2,February,Feb,Q1,1,2024,2024-02,6,Saturday,6,Yes,FY2023
2024-02-11,11,2,February,Feb,Q1,1,2024,2024-02,6,Sunday,7,Yes,FY2023
2024-02-12,12,2,February,Feb,Q1,1,2024,2024-02,7,Monday,1,No,FY2023
2024-02-13,13,2,February,Feb,Q1,1,2024,2024-02,7,Tuesday,2,No,FY2023
2024-02-14,14,2,February,Feb,Q1,1,2024,2024-02,7,Wednesday,3,No,FY2023
2024-02-15,15,2,February,Feb,Q1,1,2024,2024-02,7,Thursday,4,No,FY2023
2024-02-16,16,2,February,Feb,Q1,1,2024,2024-02,7,Friday,5,No,FY2023
2024-02-17,17,2,February,Feb,Q1,1,2024,2024-02,7,Saturday,6,Yes,FY2023
2024-02-18,18,2,February,Feb,Q1,1,2024,2024-02,7,Sunday,7,Yes,FY2023
2024-02-19,19,2,February,Feb,Q1,1,2024,2024-02,8,Monday,1,No,FY2023
2024-02-20,20,2,February,Feb,Q1,1,2024,2024-02,8,Tuesday,2,No,FY2023
2024-02-21,21,2,February,Feb,Q1,1,2024,2024-02,8,Wednesday,3,No,FY2023
2024-02-22,22,2,February,Feb,Q1,1,2024,2024-02,8,Thursday,4,No,FY2023
2024-02-23,23,2,February,Feb,Q1,1,2024,2024-02,8,Friday,5,No,FY2023
2024-02-24,24,2,February,Feb,Q1,1,2024,2024-02,8,Saturday,6,Yes,FY2023
2024-02-25,25,2,February,Feb,Q1,1,2024,2024-02,8,Sunday,7,Yes,FY2023
2024-02-26,26,2,February,Feb,Q1,1,2024,2024-02,9,Monday,1,No,FY2023
2024-02-27,27,2,February,Feb,Q1,1,2024,2024-02,9,Tuesday,2,No,FY2023
2024-02-28,28,2,February,Feb,Q1,1,2024,2024-02,9,Wednesday,3,No,FY2023
2024-02-29,29,2,February,Feb,Q1,1,2024,2024-02,9,Thursday,4,No,FY2023
2024-03-01,1,3,March,Mar,Q1,1,2024,2024-03,9,Friday,5,No,FY2023
2024-03-02,2,3,March,Mar,Q1,1,2024,2024-03,9,Saturday,6,Yes,FY2023
2024-03-03,3,3,March,Mar,Q1,1,2024,2024-03,9,Sunday,7,Yes,FY2023
2024-03-04,4,3,March,Mar,Q1,1,2024,2024-03,10,Monday,1,No,FY2023
2024-03-05,5,3,March,Mar,Q1,1,2024,2024-03,10,Tuesday,2,No,FY2023
2024-03-06,6,3,March,Mar,Q1,1,2024,2024-03,10,Wednesday,3,No,FY2023
2024-03-07,7,3,March,Mar,Q1,1,2024,2024-03,10,Thursday,4,No,FY2023
2024-03-08,8,3,March,Mar,Q1,1,2024,2024-03,10,Friday,5,No,FY2023
2024-03-09,9,3,March,Mar,Q1,1,2024,2024-03,10,Saturday,6,Yes,FY2023
2024-03-10,10,3,March,Mar,Q1,1,2024,2024-03,10,Sunday,7,Yes,FY2023
