Inventory_ID,Product_ID,Warehouse_ID,Stock_Quantity,Reorder_Point,Safety_Stock,Stock_Status,Last_Updated,Unit_Cost,Total_Value
INV00001,PRD0001,WH001,764,23,48,Normal,2026-02-13,738.45,564175.8
INV00002,PRD0001,WH002,894,23,48,Normal,2026-02-10,738.45,660174.3
INV00003,PRD0001,WH004,633,23,48,Normal,2026-02-12,738.45,467438.85
INV00004,PRD0001,WH005,798,23,48,Normal,2026-02-12,738.45,589283.1
INV00005,PRD0001,WH006,804,23,48,Normal,2026-02-22,738.45,593713.8
INV00006,PRD0001,WH007,721,23,48,Normal,2026-02-12,738.45,532422.45
INV00007,PRD0001,WH008,117,23,48,Normal,2026-02-19,738.45,86398.65
INV00008,PRD0002,WH001,343,54,46,Normal,2026-02-11,2900.83,994984.69
INV00009,PRD0002,WH002,177,54,46,Normal,2026-03-01,2900.83,513446.91
INV00010,PRD0002,WH004,984,54,46,Normal,2026-02-20,2900.83,2854416.72
INV00011,PRD0002,WH005,89,54,46,Normal,2026-03-10,2900.83,258173.87
INV00012,PRD0002,WH006,471,54,46,Normal,2026-03-10,2900.83,1366290.93
INV00013,PRD0002,WH008,432,54,46,Normal,2026-02-14,2900.83,1253158.56
INV00014,PRD0003,WH002,517,79,19,Normal,2026-02-17,597.47,308891.99
INV00015,PRD0003,WH003,597,79,19,Normal,2026-02-15,597.47,356689.59
INV00016,PRD0003,WH004,850,79,19,Normal,2026-03-01,597.47,507849.5
INV00017,PRD0003,WH005,784,79,19,Normal,2026-02-22,597.47,468416.48
INV00018,PRD0003,WH006,966,79,19,Normal,2026-03-06,597.47,577156.02
INV00019,PRD0003,WH007,505,79,19,Normal,2026-03-04,597.47,301722.35
INV00020,PRD0003,WH008,583,79,19,Normal,2026-02-28,597.47,348325.01
INV00021,PRD0004,WH002,642,45,44,Normal,2026-02-17,449.26,288424.92
INV00022,PRD0004,WH003,829,45,44,Normal,2026-02-22,449.26,372436.54
INV00023,PRD0004,WH004,138,45,44,Normal,2026-03-07,449.26,61997.88
INV00024,PRD0004,WH006,660,45,44,Normal,2026-02-21,449.26,296511.6
INV00025,PRD0004,WH008,99,45,44,Normal,2026-03-06,449.26,44476.74
INV00026,PRD0005,WH001,182,95,10,Normal,2026-03-01,1252.62,227976.84
INV00027,PRD0005,WH002,417,95,10,Normal,2026-03-09,1252.62,522342.54
INV00028,PRD0005,WH003,610,95,10,Normal,2026-03-07,1252.62,764098.2
INV00029,PRD0005,WH007,600,95,10,Normal,2026-02-23,1252.62,751572.0
INV00030,PRD0005,WH008,259,95,10,Normal,2026-03-11,1252.62,324428.58
INV00031,PRD0006,WH001,785,48,19,Normal,2026-03-11,743.32,583506.2
INV00032,PRD0006,WH002,43,48,19,Low,2026-03-07,743.32,31962.76
INV00033,PRD0006,WH003,407,48,19,Normal,2026-03-09,743.32,302531.24
INV00034,PRD0006,WH004,647,48,19,Normal,2026-03-06,743.32,480928.04
INV00035,PRD0006,WH005,686,48,19,Normal,2026-02-17,743.32,509917.52
INV00036,PRD0006,WH006,14,48,19,Critical,2026-02-17,743.32,10406.48
INV00037,PRD0006,WH007,8,48,19,Critical,2026-03-10,743.32,5946.56
INV00038,PRD0007,WH002,527,80,31,Normal,2026-03-05,52.12,27467.24
INV00039,PRD0007,WH003,921,80,31,Normal,2026-02-17,52.12,48002.52
INV00040,PRD0007,WH007,921,80,31,Normal,2026-02-27,52.12,48002.52
INV00041,PRD0007,WH008,897,80,31,Normal,2026-03-09,52.12,46751.64
INV00042,PRD0008,WH001,708,36,8,Normal,2026-02-22,2355.62,1667778.96
INV00043,PRD0008,WH002,403,36,8,Normal,2026-03-09,2355.62,949314.86
INV00044,PRD0008,WH003,720,36,8,Normal,2026-02-24,2355.62,1696046.4
INV00045,PRD0008,WH004,634,36,8,Normal,2026-03-03,2355.62,1493463.08
INV00046,PRD0008,WH006,873,36,8,Normal,2026-03-02,2355.62,2056456.26
INV00047,PRD0008,WH008,117,36,8,Normal,2026-03-03,2355.62,275607.54
INV00048,PRD0009,WH001,600,12,9,Normal,2026-02-11,2752.7,1651620.0
INV00049,PRD0009,WH002,760,12,9,Normal,2026-02-20,2752.7,2092052.0
INV00050,PRD0009,WH003,184,12,9,Normal,2026-03-01,2752.7,506496.8
INV00051,PRD0009,WH004,885,12,9,Normal,2026-02-12,2752.7,2436139.5
INV00052,PRD0009,WH005,210,12,9,Normal,2026-02-26,2752.7,578067.0
INV00053,PRD0009,WH006,240,12,9,Normal,2026-02-19,2752.7,660648.0
INV00054,PRD0009,WH007,967,12,9,Normal,2026-03-10,2752.7,2661860.9
INV00055,PRD0009,WH008,382,12,9,Normal,2026-02-22,2752.7,1051531.4
INV00056,PRD0010,WH001,696,43,49,Normal,2026-03-04,1036.03,721076.88
INV00057,PRD0010,WH002,454,43,49,Normal,2026-02-17,1036.03,470357.62
INV00058,PRD0010,WH004,805,43,49,Normal,2026-03-06,1036.03,834004.15
INV00059,PRD0010,WH005,397,43,49,Normal,2026-02-20,1036.03,411303.91
INV00060,PRD0010,WH006,787,43,49,Normal,2026-02-26,1036.03,815355.61
INV00061,PRD0010,WH007,874,43,49,Normal,2026-02-11,1036.03,905490.22
INV00062,PRD0010,WH008,49,43,49,Normal,2026-02-24,1036.03,50765.47
INV00063,PRD0011,WH004,448,31,36,Normal,2026-02-10,323.44,144901.12
INV00064,PRD0011,WH005,262,31,36,Normal,2026-03-01,323.44,84741.28
INV00065,PRD0011,WH007,76,31,36,Normal,2026-02-21,323.44,24581.44
INV00066,PRD0011,WH008,702,31,36,Normal,2026-02-19,323.44,227054.88
INV00067,PRD0012,WH001,888,51,11,Normal,2026-02-21,124.51,110564.88
INV00068,PRD0012,WH002,978,51,11,Normal,2026-03-01,124.51,121770.78
INV00069,PRD0012,WH003,87,51,11,Normal,2026-02-24,124.51,10832.37
INV00070,PRD0012,WH004,590,51,11,Normal,2026-02-12,124.51,73460.9
INV00071,PRD0012,WH005,492,51,11,Normal,2026-03-06,124.51,61258.92
INV00072,PRD0012,WH006,403,51,11,Normal,2026-02-24,124.51,50177.53
INV00073,PRD0012,WH007,724,51,11,Normal,2026-02-13,124.51,90145.24
INV00074,PRD0012,WH008,618,51,11,Normal,2026-02-25,124.51,76947.18
INV00075,PRD0013,WH001,852,62,12,Normal,2026-02-19,776.86,661884.72
INV00076,PRD0013,WH002,485,62,12,Normal,2026-03-01,776.86,376777.1
INV00077,PRD0013,WH004,938,62,12,Normal,2026-02-28,776.86,728694.68
INV00078,PRD0013,WH005,470,62,12,Normal,2026-02-27,776.86,365124.2
INV00079,PRD0013,WH007,296,62,12,Normal,2026-02-20,776.86,229950.56
INV00080,PRD0013,WH008,377,62,12,Normal,2026-02-22,776.86,292876.22
INV00081,PRD0014,WH001,512,27,21,Normal,2026-03-09,1383.81,708510.72
INV00082,PRD0014,WH002,250,27,21,Normal,2026-03-01,1383.81,345952.5
INV00083,PRD0014,WH003,752,27,21,Normal,2026-02-15,1383.81,1040625.12
INV00084,PRD0014,WH006,396,27,21,Normal,2026-03-09,1383.81,547988.76
INV00085,PRD0014,WH007,867,27,21,Normal,2026-03-02,1383.81,1199763.27
INV00086,PRD0014,WH008,380,27,21,Normal,2026-02-17,1383.81,525847.8
INV00087,PRD0015,WH001,904,52,38,Normal,2026-02-28,2085.39,1885192.56
INV00088,PRD0015,WH002,544,52,38,Normal,2026-02-20,2085.39,1134452.16
INV00089,PRD0015,WH003,753,52,38,Normal,2026-02-12,2085.39,1570298.67
INV00090,PRD0015,WH004,501,52,38,Normal,2026-03-11,2085.39,1044780.39
INV00091,PRD0015,WH006,485,52,38,Normal,2026-02-25,2085.39,1011414.15
INV00092,PRD0015,WH007,777,52,38,Normal,2026-02-24,2085.39,1620348.03
INV00093,PRD0016,WH002,535,47,23,Normal,2026-03-06,1265.94,677277.9
INV00094,PRD0016,WH003,668,47,23,Normal,2026-02-23,1265.94,845647.92
INV00095,PRD0016,WH004,831,47,23,Normal,2026-03-03,1265.94,1051996.14
INV00096,PRD0016,WH005,395,47,23,Normal,2026-02-14,1265.94,500046.3
INV00097,PRD0016,WH007,767,47,23,Normal,2026-03-02,1265.94,970975.98
INV00098,PRD0016,WH008,962,47,23,Normal,2026-02-27,1265.94,1217834.28
INV00099,PRD0017,WH002,90,34,45,Normal,2026-02-24,1123.59,101123.1
INV00100,PRD0017,WH004,807,34,45,Normal,2026-03-09,1123.59,906737.13
INV00101,PRD0017,WH005,672,34,45,Normal,2026-02-15,1123.59,755052.48
INV00102,PRD0017,WH006,954,34,45,Normal,2026-02-10,1123.59,1071904.86
INV00103,PRD0017,WH008,404,34,45,Normal,2026-02-14,1123.59,453930.36
INV00104,PRD0018,WH002,451,72,31,Normal,2026-02-16,1556.92,702170.92
INV00105,PRD0018,WH003,714,72,31,Normal,2026-03-04,1556.92,1111640.88
INV00106,PRD0018,WH006,39,72,31,Low,2026-02-10,1556.92,60719.88
INV00107,PRD0018,WH007,65,72,31,Low,2026-03-01,1556.92,101199.8
INV00108,PRD0018,WH008,856,72,31,Normal,2026-02-28,1556.92,1332723.52
INV00109,PRD0019,WH001,910,40,12,Normal,2026-02-18,2174.08,1978412.8
INV00110,PRD0019,WH002,222,40,12,Normal,2026-02-15,2174.08,482645.76
INV00111,PRD0019,WH003,63,40,12,Normal,2026-03-11,2174.08,136967.04
INV00112,PRD0019,WH004,205,40,12,Normal,2026-03-05,2174.08,445686.4
INV00113,PRD0019,WH005,728,40,12,Normal,2026-02-22,2174.08,1582730.24
INV00114,PRD0019,WH006,811,40,12,Normal,2026-02-23,2174.08,1763178.88
