Production_ID,Product_ID,Warehouse_ID,Production_Line,Start_Date,Planned_End_Date,Actual_End_Date,Planned_Quantity,Actual_Quantity,Status,Efficiency_Pct,On_Time
PRO00001,PRD0043,WH007,Line C,2025-05-05,2025-05-14,,469,0,Planned,0.0,No
PRO00002,PRD0008,WH003,Line C,2026-01-27,2026-02-05,2026-02-06,758,651,Completed,85.9,No
PRO00003,PRD0029,WH008,Line A,2025-04-25,2025-05-04,,614,0,In Progress,0.0,No
PRO00004,PRD0096,WH006,Line C,2025-06-24,2025-07-07,2025-07-09,72,69,Completed,95.8,No
PRO00005,PRD0080,WH001,Line C,2025-06-17,2025-06-29,,170,0,On Hold,0.0,No
PRO00006,PRD0016,WH005,Line A,2025-11-21,2025-11-22,2025-11-20,811,698,Completed,86.1,Yes
PRO00007,PRD0050,WH003,Line D,2025-04-27,2025-05-01,,914,0,On Hold,0.0,No
PRO00008,PRD0030,WH006,Line A,2025-10-28,2025-10-30,,949,0,In Progress,0.0,No
PRO00009,PRD0088,WH008,Line C,2025-08-26,2025-08-27,2025-08-29,577,561,Completed,97.2,No
PRO00010,PRD0097,WH001,Line B,2025-11-09,2025-11-21,,161,0,On Hold,0.0,No
PRO00011,PRD0038,WH001,Line A,2025-04-21,2025-05-02,2025-05-04,568,561,Completed,98.8,No
PRO00012,PRD0055,WH001,Line C,2025-12-09,2025-12-23,,646,0,On Hold,0.0,No
PRO00013,PRD0043,WH005,Line B,2025-05-09,2025-05-20,2025-05-20,375,337,Completed,89.9,Yes
PRO00014,PRD0097,WH006,Line B,2025-10-24,2025-11-05,,444,0,Planned,0.0,No
PRO00015,PRD0047,WH004,Line A,2025-10-04,2025-10-10,2025-10-14,130,115,Completed,88.5,No
PRO00016,PRD0090,WH008,Line D,2025-05-22,2025-05-25,,783,0,On Hold,0.0,No
PRO00017,PRD0045,WH005,Line B,2025-06-08,2025-06-09,2025-06-07,676,593,Completed,87.7,Yes
PRO00018,PRD0050,WH004,Line D,2025-05-17,2025-05-19,2025-05-19,652,579,Completed,88.8,Yes
PRO00019,PRD0073,WH007,Line A,2026-01-28,2026-02-10,,162,0,In Progress,0.0,No
PRO00020,PRD0100,WH001,Line A,2025-07-13,2025-07-15,2025-07-16,211,187,Completed,88.6,No
PRO00021,PRD0071,WH001,Line C,2026-02-20,2026-03-02,,817,0,In Progress,0.0,No
PRO00022,PRD0032,WH001,Line A,2026-01-09,2026-01-22,2026-01-26,882,759,Completed,86.1,No
PRO00023,PRD0071,WH003,Line C,2025-03-21,2025-03-28,,781,0,In Progress,0.0,No
PRO00024,PRD0043,WH005,Line B,2025-07-05,2025-07-14,2025-07-12,51,43,Completed,84.3,Yes
PRO00025,PRD0042,WH005,Line D,2025-07-23,2025-08-04,2025-08-05,762,650,Completed,85.3,No
PRO00026,PRD0083,WH007,Line D,2025-04-28,2025-05-06,,895,0,Planned,0.0,No
PRO00027,PRD0025,WH006,Line B,2025-03-13,2025-03-19,2025-03-23,716,658,Completed,91.9,No
PRO00028,PRD0077,WH001,Line A,2025-09-17,2025-09-20,2025-09-21,447,413,Completed,92.4,No
PRO00029,PRD0065,WH004,Line B,2025-06-06,2025-06-11,2025-06-13,338,307,Completed,90.8,No
PRO00030,PRD0067,WH006,Line D,2025-10-07,2025-10-10,,73,0,Planned,0.0,No
PRO00031,PRD0068,WH002,Line A,2025-05-05,2025-05-10,,667,0,On Hold,0.0,No
PRO00032,PRD0085,WH004,Line C,2025-07-10,2025-07-16,2025-07-14,400,383,Completed,95.8,Yes
PRO00033,PRD0068,WH004,Line C,2025-04-15,2025-04-16,,831,0,Planned,0.0,No
PRO00034,PRD0044,WH001,Line A,2025-03-15,2025-03-18,,706,0,Planned,0.0,No
PRO00035,PRD0006,WH002,Line D,2025-12-31,2026-01-07,,286,0,Planned,0.0,No
PRO00036,PRD0014,WH008,Line A,2026-01-18,2026-01-21,2026-01-26,553,484,Completed,87.5,No
PRO00037,PRD0073,WH008,Line B,2025-06-05,2025-06-17,,552,0,Planned,0.0,No
PRO00038,PRD0096,WH001,Line C,2025-12-02,2025-12-10,2025-12-09,101,98,Completed,97.0,Yes
PRO00039,PRD0030,WH003,Line A,2025-09-22,2025-10-02,2025-10-05,808,742,Completed,91.8,No
PRO00040,PRD0097,WH004,Line C,2026-01-27,2026-02-02,2026-02-05,143,133,Completed,93.0,No
PRO00041,PRD0085,WH001,Line B,2025-07-16,2025-07-28,2025-07-28,687,627,Completed,91.3,Yes
PRO00042,PRD0051,WH002,Line B,2026-02-02,2026-02-13,2026-02-13,191,165,Completed,86.4,Yes
PRO00043,PRD0086,WH002,Line B,2026-02-02,2026-02-05,,362,0,Planned,0.0,No
PRO00044,PRD0015,WH003,Line B,2025-07-25,2025-07-30,,541,0,Planned,0.0,No
PRO00045,PRD0096,WH005,Line B,2025-06-07,2025-06-17,,111,0,Planned,0.0,No
PRO00046,PRD0024,WH003,Line B,2025-10-04,2025-10-05,2025-10-04,708,700,Completed,98.9,Yes
PRO00047,PRD0070,WH001,Line C,2026-01-25,2026-02-01,2026-01-31,719,681,Completed,94.7,Yes
PRO00048,PRD0088,WH001,Line D,2025-10-11,2025-10-14,2025-10-16,690,621,Completed,90.0,No
PRO00049,PRD0007,WH007,Line D,2025-12-12,2025-12-21,2025-12-22,159,142,Completed,89.3,No
PRO00050,PRD0096,WH008,Line B,2025-04-18,2025-04-21,,431,0,On Hold,0.0,No
PRO00051,PRD0007,WH006,Line A,2025-11-02,2025-11-03,2025-11-01,954,830,Completed,87.0,Yes
PRO00052,PRD0099,WH004,Line A,2025-06-01,2025-06-05,2025-06-03,168,145,Completed,86.3,Yes
PRO00053,PRD0032,WH004,Line C,2025-03-21,2025-03-26,,359,0,In Progress,0.0,No
PRO00054,PRD0007,WH001,Line D,2025-05-22,2025-05-25,2025-05-27,304,279,Completed,91.8,No
PRO00055,PRD0100,WH001,Line A,2025-04-03,2025-04-12,,945,0,On Hold,0.0,No
PRO00056,PRD0029,WH001,Line B,2025-10-19,2025-11-02,2025-11-05,729,718,Completed,98.5,No
PRO00057,PRD0087,WH001,Line B,2025-12-16,2025-12-28,2026-01-02,535,456,Completed,85.2,No
PRO00058,PRD0077,WH008,Line D,2026-02-08,2026-02-15,2026-02-17,626,575,Completed,91.9,No
PRO00059,PRD0096,WH005,Line D,2025-04-01,2025-04-11,,803,0,Planned,0.0,No
PRO00060,PRD0039,WH006,Line D,2025-12-03,2025-12-15,2025-12-18,462,439,Completed,95.0,No
PRO00061,PRD0094,WH005,Line A,2025-05-16,2025-05-27,2025-05-26,115,101,Completed,87.8,Yes
PRO00062,PRD0027,WH008,Line D,2025-05-28,2025-06-11,,757,0,In Progress,0.0,No
PRO00063,PRD0090,WH007,Line D,2025-07-08,2025-07-21,2025-07-25,512,448,Completed,87.5,No
PRO00064,PRD0015,WH005,Line B,2025-10-17,2025-10-29,,244,0,In Progress,0.0,No
PRO00065,PRD0030,WH002,Line A,2025-07-16,2025-07-26,,568,0,In Progress,0.0,No
PRO00066,PRD0034,WH002,Line A,2025-08-04,2025-08-05,,165,0,In Progress,0.0,No
PRO00067,PRD0019,WH002,Line C,2025-12-14,2025-12-24,2025-12-29,371,318,Completed,85.7,No
PRO00068,PRD0041,WH007,Line B,2025-05-09,2025-05-20,2025-05-20,96,82,Completed,85.4,Yes
PRO00069,PRD0027,WH002,Line A,2025-05-09,2025-05-23,,884,0,In Progress,0.0,No
PRO00070,PRD0059,WH007,Line C,2025-05-06,2025-05-18,2025-05-18,181,179,Completed,98.9,Yes
PRO00071,PRD0057,WH002,Line B,2025-04-30,2025-05-10,,278,0,On Hold,0.0,No
PRO00072,PRD0067,WH001,Line B,2025-10-20,2025-10-31,,981,0,On Hold,0.0,No
PRO00073,PRD0012,WH005,Line C,2025-07-18,2025-07-22,,137,0,Planned,0.0,No
