Product_ID,Product_Name,Category,Subcategory,Unit_Price,Unit_Cost,Lead_Time_Days,Reorder_Point,Safety_Stock,UOM
PRD0001,Sensors Physical 1,Electronics,Sensors,3710.34,738.45,5,23,48,BOX
PRD0002,Plastic Song 2,Raw Materials,Plastic,4323.12,2900.83,9,54,46,BOX
PRD0003,Adhesives Behavior 3,Consumables,Adhesives,4021.49,597.47,4,79,19,PCS
PRD0004,Sensors Black 4,Electronics,Sensors,1617.34,449.26,5,45,44,BOX
PRD0005,Chemicals Next 5,Consumables,Chemicals,1210.42,1252.62,22,95,10,BOX
PRD0006,Chemicals Letter 6,Consumables,Chemicals,969.4,743.32,18,48,19,LTR
PRD0007,Chemicals Now 7,Consumables,Chemicals,3299.83,52.12,18,80,31,KG
PRD0008,Bearings Sign 8,Spare Parts,Bearings,3084.59,2355.62,27,36,8,BOX
PRD0009,Displays Create 9,Electronics,Displays,2934.73,2752.7,3,12,9,PCS
PRD0010,Filters Especially 10,Spare Parts,Filters,2761.16,1036.03,27,43,49,KG
PRD0011,Adhesives Score 11,Consumables,Adhesives,1875.71,323.44,29,31,36,PCS
PRD0012,Belts Strategy 12,Spare Parts,Belts,4408.94,124.51,21,51,11,BOX
PRD0013,Adhesives Second 13,Consumables,Adhesives,4659.9,776.86,1,62,12,LTR
PRD0014,Lubricants Mother 14,Consumables,Lubricants,480.49,1383.81,5,27,21,LTR
PRD0015,Plastic Security 15,Raw Materials,Plastic,681.38,2085.39,9,52,38,MTR
PRD0016,Filters War 16,Spare Parts,Filters,3671.73,1265.94,26,47,23,PCS
PRD0017,Chemicals Position 17,Consumables,Chemicals,898.52,1123.59,15,34,45,LTR
PRD0018,Steel Late 18,Raw Materials,Steel,74.36,1556.92,12,72,31,LTR
PRD0019,Controllers Yard 19,Electronics,Controllers,4716.38,2174.08,5,40,12,BOX
PRD0020,Filters Space 20,Spare Parts,Filters,4041.09,1027.3,30,33,18,PCS
PRD0021,Aluminium Challenge 21,Raw Materials,Aluminium,238.64,2012.98,15,45,46,KG
PRD0022,Boxes Special 22,Packaging,Boxes,1820.46,225.82,1,81,12,PCS
PRD0023,Controllers Source 23,Electronics,Controllers,1623.61,49.91,21,50,5,MTR
PRD0024,Adhesives Nice 24,Consumables,Adhesives,1118.49,1188.96,18,68,25,PCS
PRD0025,Pallets Word 25,Packaging,Pallets,2111.07,996.98,2,30,47,PCS
PRD0026,Controllers Already 26,Electronics,Controllers,2796.29,2873.06,30,24,8,LTR
PRD0027,Plastic Machine 27,Raw Materials,Plastic,860.35,1718.7,14,40,40,MTR
PRD0028,Pallets Somebody 28,Packaging,Pallets,3188.13,2119.03,10,10,11,PCS
PRD0029,Chemicals News 29,Consumables,Chemicals,958.78,626.39,27,70,37,LTR
PRD0030,Adhesives Attack 30,Consumables,Adhesives,4593.93,2713.26,12,26,30,BOX
PRD0031,Wrapping Herself 31,Packaging,Wrapping,3578.26,1424.24,11,63,16,PCS
