PO_ID,Product_ID,Supplier_ID,Warehouse_ID,Order_Date,Expected_Delivery,Actual_Delivery,Quantity_Ordered,Quantity_Received,Unit_Cost,Total_Cost,Status,On_Time
PO00001,PRD0084,SUP016,WH004,2025-03-30,2025-04-01,,462,0,2807.14,1296898.68,Pending,No
PO00002,PRD0085,SUP014,WH007,2025-09-26,2025-10-21,,42,0,2122.87,89160.54,Pending,No
PO00003,PRD0058,SUP021,WH007,2025-03-17,2025-03-22,2025-03-28,323,323,1401.08,452548.84,Delivered,No
PO00004,PRD0093,SUP024,WH005,2025-07-12,2025-07-16,,338,0,1516.4,512543.2,In Transit,No
PO00005,PRD0051,SUP018,WH003,2025-05-25,2025-06-07,2025-06-06,454,454,1685.98,765434.92,Delivered,Yes
PO00006,PRD0079,SUP026,WH005,2025-08-12,2025-08-20,,281,0,1909.7,536625.7,In Transit,No
PO00007,PRD0035,SUP019,WH002,2025-12-06,2025-12-24,,224,0,127.11,28472.64,In Transit,No
PO00008,PRD0042,SUP017,WH001,2025-12-04,2025-12-24,2025-12-21,283,283,1556.28,440427.24,Delivered,Yes
PO00009,PRD0069,SUP030,WH002,2025-05-28,2025-06-26,2025-06-29,292,292,779.99,227757.08,Delivered,No
PO00010,PRD0098,SUP011,WH001,2026-01-02,2026-01-22,2026-01-31,210,210,152.7,32067.0,Delivered,No
PO00011,PRD0052,SUP004,WH001,2025-07-03,2025-07-26,,486,0,1853.67,900883.62,Pending,No
PO00012,PRD0022,SUP012,WH005,2025-09-24,2025-09-25,,487,0,225.82,109974.34,Cancelled,No
PO00013,PRD0049,SUP008,WH002,2025-06-13,2025-06-22,2025-06-20,158,158,1141.55,180364.9,Delivered,Yes
PO00014,PRD0089,SUP023,WH005,2025-07-26,2025-08-18,2025-08-22,498,498,1421.88,708096.24,Delivered,No
PO00015,PRD0064,SUP028,WH003,2025-09-09,2025-09-19,2025-09-23,110,110,1504.29,165471.9,Delivered,No
PO00016,PRD0030,SUP020,WH008,2025-06-27,2025-07-09,2025-07-14,361,361,2713.26,979486.86,Delivered,No
PO00017,PRD0041,SUP015,WH006,2025-08-11,2025-08-29,,52,0,1652.87,85949.24,In Transit,No
PO00018,PRD0059,SUP010,WH001,2025-05-06,2025-06-03,2025-06-12,111,111,1855.66,205978.26,Delivered,No
PO00019,PRD0096,SUP001,WH004,2025-07-02,2025-07-23,,19,0,610.31,11595.89,Pending,No
PO00020,PRD0091,SUP027,WH006,2026-01-19,2026-01-24,2026-01-30,15,15,2899.75,43496.25,Delivered,No
