Order_ID,Product_ID,Customer_ID,Warehouse_ID,Order_Date,Expected_Delivery,Actual_Delivery,Quantity,Unit_Price,Discount_Pct,Total_Amount,Status,On_Time,Region
SO00001,PRD0012,CUST0131,WH003,2025-08-24,2025-09-01,2025-08-30,80,4408.94,0.07,328025.14,Delivered,Yes,Bangalore
SO00002,PRD0042,CUST0059,WH002,2025-05-20,2025-05-29,,78,3184.88,0.0,248420.64,Cancelled,No,Chennai
SO00003,PRD0061,CUST0010,WH002,2025-09-27,2025-10-01,2025-10-04,2,145.59,0.18,238.77,Delivered,No,Lucknow
SO00004,PRD0019,CUST0124,WH007,2026-02-09,2026-02-18,2026-02-25,78,4716.38,0.15,312695.99,Delivered,No,Kanpur
SO00005,PRD0042,CUST0058,WH004,2025-11-05,2025-11-18,,70,3184.88,0.17,185041.53,Shipped,No,Kanpur
SO00006,PRD0020,CUST0074,WH003,2025-04-13,2025-04-25,2025-04-27,42,4041.09,0.09,154450.46,Delivered,No,Ahmedabad
SO00007,PRD0019,CUST0122,WH005,2025-03-16,2025-03-28,,96,4716.38,0.14,389384.33,Shipped,No,Chennai
SO00008,PRD0098,CUST0158,WH006,2025-11-30,2025-12-09,2025-12-14,34,1182.85,0.06,37803.89,Delivered,No,Bangalore
SO00009,PRD0079,CUST0103,WH002,2025-07-26,2025-07-29,2025-08-01,34,3243.13,0.01,109163.76,Delivered,No,Pune
SO00010,PRD0038,CUST0077,WH007,2025-10-30,2025-11-10,2025-11-09,48,1808.04,0.18,71164.45,Delivered,Yes,Kochi
SO00011,PRD0061,CUST0053,WH005,2025-09-17,2025-09-28,2025-10-02,62,145.59,0.16,7582.33,Delivered,No,Nagpur
SO00012,PRD0001,CUST0076,WH004,2025-04-07,2025-04-12,2025-04-19,23,3710.34,0.01,84484.44,Delivered,No,Nagpur
SO00013,PRD0046,CUST0013,WH008,2025-08-20,2025-09-01,,83,3056.69,0.1,228334.74,Shipped,No,Kanpur
SO00014,PRD0018,CUST0053,WH003,2025-04-05,2025-04-11,,95,74.36,0.12,6216.5,Processing,No,Nagpur
SO00015,PRD0028,CUST0055,WH003,2025-03-16,2025-03-20,2025-03-18,10,3188.13,0.04,30606.05,Delivered,Yes,Kochi
SO00016,PRD0005,CUST0181,WH007,2025-09-21,2025-09-26,,11,1210.42,0.06,12515.74,Cancelled,No,Delhi
SO00017,PRD0007,CUST0193,WH004,2025-07-01,2025-07-02,2025-07-08,7,3299.83,0.08,21250.91,Delivered,No,Nagpur
SO00018,PRD0061,CUST0021,WH005,2026-02-02,2026-02-10,2026-02-17,10,145.59,0.17,1208.4,Delivered,No,Kolkata
SO00019,PRD0059,CUST0174,WH003,2025-05-29,2025-06-11,2025-06-15,46,2580.04,0.06,111560.93,Delivered,No,Mumbai
SO00020,PRD0017,CUST0185,WH005,2026-01-22,2026-01-27,2026-01-25,2,898.52,0.01,1779.07,Delivered,Yes,Hyderabad
SO00021,PRD0058,CUST0130,WH008,2026-01-28,2026-02-02,2026-01-31,38,706.89,0.14,23101.17,Delivered,Yes,Chennai
SO00022,PRD0029,CUST0055,WH004,2025-06-06,2025-06-11,2025-06-13,80,958.78,0.09,69799.18,Delivered,No,Kochi
SO00023,PRD0081,CUST0081,WH002,2025-07-28,2025-08-06,2025-08-08,94,2414.08,0.19,183808.05,Delivered,No,Coimbatore
SO00024,PRD0086,CUST0019,WH002,2025-12-12,2025-12-25,,45,1805.94,0.03,78829.28,Shipped,No,Pune
SO00025,PRD0027,CUST0069,WH007,2025-05-21,2025-05-28,2025-05-30,71,860.35,0.12,53754.67,Delivered,No,Kanpur
SO00026,PRD0064,CUST0022,WH007,2025-06-05,2025-06-08,2025-06-12,55,1528.35,0.03,81537.47,Delivered,No,Pune
SO00027,PRD0059,CUST0198,WH003,2025-03-26,2025-04-03,,8,2580.04,0.02,20227.51,Shipped,No,Hyderabad
SO00028,PRD0061,CUST0132,WH003,2025-08-07,2025-08-11,,6,145.59,0.14,751.24,Processing,No,Jaipur
SO00029,PRD0043,CUST0177,WH001,2025-11-30,2025-12-10,2025-12-09,12,4966.02,0.2,47673.79,Delivered,Yes,Lucknow
SO00030,PRD0074,CUST0071,WH003,2026-03-10,2026-03-12,2026-03-11,50,4189.13,0.07,194794.54,Delivered,Yes,Surat
SO00031,PRD0083,CUST0138,WH005,2026-01-26,2026-02-06,,48,3433.07,0.01,163139.49,Cancelled,No,Kochi
SO00032,PRD0052,CUST0133,WH007,2025-07-09,2025-07-20,2025-07-23,73,4858.41,0.07,329837.45,Delivered,No,Kolkata
SO00033,PRD0050,CUST0169,WH005,2025-04-12,2025-04-13,2025-04-14,14,1912.62,0.07,24902.31,Delivered,No,Mumbai
SO00034,PRD0085,CUST0008,WH006,2025-11-02,2025-11-03,,10,4254.94,0.16,35741.5,Shipped,No,Bangalore
SO00035,PRD0017,CUST0067,WH004,2025-09-03,2025-09-08,2025-09-12,88,898.52,0.05,75116.27,Delivered,No,Nagpur
SO00036,PRD0035,CUST0184,WH007,2025-03-13,2025-03-26,,99,2218.25,0.19,177881.47,Shipped,No,Pune
SO00037,PRD0001,CUST0031,WH004,2025-11-02,2025-11-13,,25,3710.34,0.16,77917.14,Shipped,No,Pune
SO00038,PRD0096,CUST0089,WH004,2025-05-29,2025-06-12,2025-06-10,89,4666.13,0.19,336381.31,Delivered,Yes,Nagpur
SO00039,PRD0067,CUST0068,WH004,2025-10-15,2025-10-19,2025-10-20,16,2944.43,0.12,41457.57,Delivered,No,Kolkata
SO00040,PRD0028,CUST0030,WH006,2026-02-08,2026-02-15,,8,3188.13,0.03,24739.89,Shipped,No,Surat
SO00041,PRD0036,CUST0048,WH003,2025-08-21,2025-08-26,,13,2595.06,0.08,31036.92,Shipped,No,Nagpur
