Shipment_ID,Order_ID,Carrier,Ship_Mode,Ship_Date,Expected_Delivery,Actual_Delivery,Shipping_Cost,Weight_KG,Status,On_Time,Delay_Days
SHP00001,SO00001,Delhivery,Sea,2025-08-27,2025-09-01,2025-08-30,1749.65,259.92,Delivered,Yes,0
SHP00002,SO00003,DTDC,Sea,2025-09-28,2025-10-01,2025-10-04,1151.45,39.82,Delivered,No,3
SHP00003,SO00004,Blue Dart,Air,2026-02-12,2026-02-18,2026-02-25,1400.77,162.11,Delivered,No,7
SHP00004,SO00005,FedEx,Rail,2025-11-08,2025-11-18,,153.23,141.09,Shipped,No,0
SHP00005,SO00006,Blue Dart,Rail,2025-04-15,2025-04-25,2025-04-27,593.73,229.29,Delivered,No,2
SHP00006,SO00007,DTDC,Road,2025-03-18,2025-03-28,,635.31,172.12,Shipped,No,0
SHP00007,SO00008,DHL,Sea,2025-12-03,2025-12-09,2025-12-14,853.33,30.93,Delivered,No,5
SHP00008,SO00009,Blue Dart,Rail,2025-07-28,2025-07-29,2025-08-01,1663.07,81.97,Delivered,No,3
SHP00009,SO00010,DTDC,Rail,2025-10-31,2025-11-10,2025-11-09,939.93,490.08,Delivered,Yes,0
SHP00010,SO00011,XpressBees,Road,2025-09-20,2025-09-28,2025-10-02,291.62,126.65,Delivered,No,4
SHP00011,SO00012,XpressBees,Air,2025-04-08,2025-04-12,2025-04-19,925.23,84.59,Delivered,No,7
SHP00012,SO00013,Delhivery,Air,2025-08-21,2025-09-01,,662.58,261.84,Shipped,No,0
SHP00013,SO00015,Delhivery,Air,2025-03-19,2025-03-20,2025-03-18,1812.92,280.13,Delivered,Yes,0
SHP00014,SO00017,Ecom Express,Rail,2025-07-04,2025-07-02,2025-07-08,1014.87,229.8,Delivered,No,6
SHP00015,SO00018,Ecom Express,Sea,2026-02-04,2026-02-10,2026-02-17,107.34,96.1,Delivered,No,7
SHP00016,SO00019,Ecom Express,Road,2025-06-01,2025-06-11,2025-06-15,1274.45,492.57,Delivered,No,4
SHP00017,SO00020,DTDC,Sea,2026-01-25,2026-01-27,2026-01-25,1864.14,499.91,Delivered,Yes,0
SHP00018,SO00021,DTDC,Rail,2026-01-31,2026-02-02,2026-01-31,1629.32,407.33,Delivered,Yes,0
SHP00019,SO00022,FedEx,Sea,2025-06-08,2025-06-11,2025-06-13,180.74,201.93,Delivered,No,2
SHP00020,SO00023,DTDC,Sea,2025-07-31,2025-08-06,2025-08-08,907.3,382.73,Delivered,No,2
SHP00021,SO00024,Delhivery,Sea,2025-12-13,2025-12-25,,837.32,116.6,Shipped,No,0
SHP00022,SO00025,DHL,Sea,2025-05-22,2025-05-28,2025-05-30,1592.68,60.13,Delivered,No,2
SHP00023,SO00026,FedEx,Road,2025-06-06,2025-06-08,2025-06-12,1501.23,205.33,Delivered,No,4
SHP00024,SO00027,Blue Dart,Sea,2025-03-28,2025-04-03,,103.09,126.81,Shipped,No,0
SHP00025,SO00029,DTDC,Rail,2025-12-02,2025-12-10,2025-12-09,1155.69,226.53,Delivered,Yes,0
SHP00026,SO00030,XpressBees,Rail,2026-03-11,2026-03-12,2026-03-11,818.59,134.88,Delivered,Yes,0
SHP00027,SO00032,XpressBees,Road,2025-07-11,2025-07-20,2025-07-23,1933.33,325.09,Delivered,No,3
SHP00028,SO00033,Blue Dart,Air,2025-04-13,2025-04-13,2025-04-14,262.43,232.81,Delivered,No,1
SHP00029,SO00034,DHL,Air,2025-11-05,2025-11-03,,1321.69,424.0,Shipped,No,0
SHP00030,SO00035,Ecom Express,Road,2025-09-06,2025-09-08,2025-09-12,1250.7,448.42,Delivered,No,4
SHP00031,SO00036,Delhivery,Road,2025-03-16,2025-03-26,,67.85,12.27,Shipped,No,0
SHP00032,SO00037,Ecom Express,Road,2025-11-03,2025-11-13,,742.93,429.32,Shipped,No,0
SHP00033,SO00038,Blue Dart,Air,2025-05-31,2025-06-12,2025-06-10,1284.32,199.99,Delivered,Yes,0
SHP00034,SO00039,DTDC,Sea,2025-10-18,2025-10-19,2025-10-20,126.89,463.73,Delivered,No,1
SHP00035,SO00040,Delhivery,Road,2026-02-09,2026-02-15,,416.88,392.92,Shipped,No,0
SHP00036,SO00041,Blue Dart,Road,2025-08-23,2025-08-26,,78.43,136.56,Shipped,No,0
SHP00037,SO00042,FedEx,Rail,2026-02-10,2026-02-12,2026-02-14,939.54,257.26,Delivered,No,2
